Search Type, N, Target, Guesses
Linear Search: Size 28000 | Average Guesses = 14049.3 
Binary Search: Size 28000 | Average Guesses =  13.2
Binary Search: Size 23000 | Average Guesses =  13.9
Binary Search: Size 28500 | Average Guesses =  14
Linear Search: Size 29000 | Average Guesses = 18065.5 
Binary Search: Size 29000 | Average Guesses =  12.9
Linear Search: Size 29500 | Average Guesses = 13437.7 
Binary Search: Size 29500 | Average Guesses =  14.4
Linear Search: Size 30000 | Average Guesses = 14631.2 
Binary Search: Size 30000 | Average Guesses =  13.8
Linear Search: Size 30500 | Average Guesses = 11146.6 
Binary Search: Size 30500 | Average Guesses =  14.6
Linear Search: Size 31000 | Average Guesses = 14560 
Binary Search: Size 31000 | Average Guesses =  13.6
Binary Search: Size 31500 | Average Guesses =  13.8
Linear Search: Size 31500 | Average Guesses = 15593.7 
Linear Search: Size 32000 | Average Guesses = 19896.8 
Binary Search: Size 32000 | Average Guesses =  14.5
Binary Search: Size 32500 | Average Guesses =  13.6
Linear Search: Size 32500 | Average Guesses = 13922 
Linear Search: Size 33000 | Average Guesses = 13488.9 
Binary Search: Size 33000 | Average Guesses =  14.2
Linear Search: Size 33500 | Average Guesses = 16289.5 
Binary Search: Size 33500 | Average Guesses =  14.1
Linear Search: Size 34000 | Average Guesses = 10868.1 
Binary Search: Size 34000 | Average Guesses =  14.1
Linear Search: Size 27000 | Average Guesses = 11174.3 
Binary Search: Size 34500 | Average Guesses =  13.8
Linear Search: Size 34500 | Average Guesses = 18435.3 
Binary Search: Size 35000 | Average Guesses =  14
Linear Search: Size 35500 | Average Guesses = 17299.6 
Binary Search: Size 35500 | Average Guesses =  14
Linear Search: Size 36000 | Average Guesses = 9519.1 
Binary Search: Size 36000 | Average Guesses =  14.4
Linear Search: Size 36500 | Average Guesses = 17644.2 
Binary Search: Size 36500 | Average Guesses =  15.1
Linear Search: Size 37000 | Average Guesses = 14615.5 
Binary Search: Size 37000 | Average Guesses =  14
Binary Search: Size 37500 | Average Guesses =  14.1
Linear Search: Size 37500 | Average Guesses = 21409.6 
Binary Search: Size 38000 | Average Guesses =  14
Linear Search: Size 38000 | Average Guesses = 21900.7 
Linear Search: Size 38500 | Average Guesses = 20661.4 
Binary Search: Size 38500 | Average Guesses =  14.9
Binary Search: Size 39000 | Average Guesses =  14
Linear Search: Size 39000 | Average Guesses = 18847.4 
Linear Search: Size 39500 | Average Guesses = 22524.5 
Linear Search: Size 35000 | Average Guesses = 14108.7 
Linear Search: Size 40000 | Average Guesses = 19206.9 
Binary Search: Size 27000 | Average Guesses =  14.5
Linear Search: Size 40500 | Average Guesses = 22884.9 
Binary Search: Size 40500 | Average Guesses =  14.9
Linear Search: Size 41000 | Average Guesses = 21994.1 
Binary Search: Size 41000 | Average Guesses =  14.2
Linear Search: Size 28500 | Average Guesses = 13075.4 
Binary Search: Size 40000 | Average Guesses =  14.8
Binary Search: Size 39500 | Average Guesses =  14.4
Binary Search: Size 42000 | Average Guesses =  14.4
Binary Search: Size 41500 | Average Guesses =  14.6
Binary Search: Size 42500 | Average Guesses =  15.2
Linear Search: Size 43000 | Average Guesses = 25472.7 
Binary Search: Size 43000 | Average Guesses =  14.8
Linear Search: Size 43500 | Average Guesses = 16730.8 
Linear Search: Size 42500 | Average Guesses = 20608.2 
Linear Search: Size 44000 | Average Guesses = 21420.2 
Binary Search: Size 44000 | Average Guesses =  14.8
Linear Search: Size 42000 | Average Guesses = 17502.8 
Binary Search: Size 44500 | Average Guesses =  12.9
Linear Search: Size 45000 | Average Guesses = 16404.2 
Binary Search: Size 43500 | Average Guesses =  14.5
Linear Search: Size 45500 | Average Guesses = 19035.3 
Binary Search: Size 45500 | Average Guesses =  14.5
Linear Search: Size 46000 | Average Guesses = 17718.5 
Binary Search: Size 46000 | Average Guesses =  14.6
Linear Search: Size 46500 | Average Guesses = 29800.3 
Binary Search: Size 46500 | Average Guesses =  15.1
Linear Search: Size 47000 | Average Guesses = 27649.1 
Linear Search: Size 41500 | Average Guesses = 23283.6 
Linear Search: Size 47500 | Average Guesses = 18559.6 
Binary Search: Size 47500 | Average Guesses =  14.8
Linear Search: Size 48000 | Average Guesses = 25056.8 
Binary Search: Size 48000 | Average Guesses =  14.5
Linear Search: Size 48500 | Average Guesses = 30391.8 
Binary Search: Size 48500 | Average Guesses =  14.6
Binary Search: Size 49000 | Average Guesses =  14.9
Linear Search: Size 49000 | Average Guesses = 18373.1 
Linear Search: Size 49500 | Average Guesses = 29159.1 
Binary Search: Size 50000 | Average Guesses =  14.5
Binary Search: Size 49500 | Average Guesses =  13.9
Linear Search: Size 50000 | Average Guesses = 24593.4 
Linear Search: Size 50500 | Average Guesses = 28232.7 
Binary Search: Size 50500 | Average Guesses =  14.7
Linear Search: Size 51000 | Average Guesses = 32700.3 
Binary Search: Size 51000 | Average Guesses =  15.1
Linear Search: Size 51500 | Average Guesses = 35586.1 
Binary Search: Size 51500 | Average Guesses =  14.9
Linear Search: Size 52000 | Average Guesses = 18215.9 
Binary Search: Size 52000 | Average Guesses =  15.5
Linear Search: Size 52500 | Average Guesses = 26289.1 
Binary Search: Size 52500 | Average Guesses =  15.2
Binary Search: Size 53000 | Average Guesses =  15.1
Linear Search: Size 53000 | Average Guesses = 17428.1 
Binary Search: Size 53500 | Average Guesses =  15
Linear Search: Size 53500 | Average Guesses = 23848.1 
Linear Search: Size 54000 | Average Guesses = 33085.6 
Binary Search: Size 54000 | Average Guesses =  14.8
Binary Search: Size 54500 | Average Guesses =  15.4
Linear Search: Size 54500 | Average Guesses = 30722.7 
Linear Search: Size 55000 | Average Guesses = 21986.7 
Binary Search: Size 55000 | Average Guesses =  14
Binary Search: Size 55500 | Average Guesses =  14.8
Linear Search: Size 55500 | Average Guesses = 25465.5 
Linear Search: Size 56000 | Average Guesses = 21017.8 
Binary Search: Size 56000 | Average Guesses =  14.6
Binary Search: Size 56500 | Average Guesses =  13.9
Linear Search: Size 44500 | Average Guesses = 18029.2 
Binary Search: Size 45000 | Average Guesses =  14.4
Binary Search: Size 57000 | Average Guesses =  14.6
Linear Search: Size 57500 | Average Guesses = 20999.7 
Binary Search: Size 57500 | Average Guesses =  14.4
Linear Search: Size 58000 | Average Guesses = 31541.3 
Linear Search: Size 56500 | Average Guesses = 31166.2 
Linear Search: Size 57000 | Average Guesses = 28110.2 
Binary Search: Size 58000 | Average Guesses =  15.8
Linear Search: Size 59000 | Average Guesses = 30115.5 
Binary Search: Size 59000 | Average Guesses =  14.6
Linear Search: Size 59500 | Average Guesses = 36612.1 
Binary Search: Size 59500 | Average Guesses =  14.5
Linear Search: Size 60000 | Average Guesses = 30371.6 
Binary Search: Size 60000 | Average Guesses =  14.7
Binary Search: Size 60500 | Average Guesses =  15.2
Linear Search: Size 60500 | Average Guesses = 32277.1 
Linear Search: Size 61000 | Average Guesses = 23374.8 
Binary Search: Size 47000 | Average Guesses =  14.4
Binary Search: Size 61500 | Average Guesses =  15.3
Binary Search: Size 61000 | Average Guesses =  15.2
Linear Search: Size 58500 | Average Guesses = 34809.8 
Binary Search: Size 58500 | Average Guesses =  14.1
Linear Search: Size 61500 | Average Guesses = 33082.2 
Linear Search: Size 62000 | Average Guesses = 35698.9 
Binary Search: Size 62000 | Average Guesses =  14.6
Binary Search: Size 62500 | Average Guesses =  15.3
Linear Search: Size 62500 | Average Guesses = 32081 
Binary Search: Size 63000 | Average Guesses =  15.3
Binary Search: Size 63500 | Average Guesses =  15.2
Linear Search: Size 64000 | Average Guesses = 34345.6 
Binary Search: Size 64500 | Average Guesses =  14.9
Linear Search: Size 64500 | Average Guesses = 22717.3 
Linear Search: Size 65000 | Average Guesses = 32812.8 
Binary Search: Size 65000 | Average Guesses =  15.1
Linear Search: Size 65500 | Average Guesses = 24034.8 
Binary Search: Size 65500 | Average Guesses =  15.5
Binary Search: Size 66000 | Average Guesses =  15.5
Linear Search: Size 66000 | Average Guesses = 31544.2 
Linear Search: Size 66500 | Average Guesses = 34192.5 
Binary Search: Size 66500 | Average Guesses =  14.7
Binary Search: Size 67000 | Average Guesses =  15.7
Linear Search: Size 67000 | Average Guesses = 35857.4 
Linear Search: Size 67500 | Average Guesses = 25926.4 
Linear Search: Size 63500 | Average Guesses = 32885 
Binary Search: Size 68000 | Average Guesses =  13.8
Linear Search: Size 68000 | Average Guesses = 37318.5 
Binary Search: Size 68500 | Average Guesses =  15.7
Linear Search: Size 68500 | Average Guesses = 34465.9 
Linear Search: Size 69000 | Average Guesses = 33812.3 
Binary Search: Size 69000 | Average Guesses =  14.3
Linear Search: Size 63000 | Average Guesses = 38726 
Binary Search: Size 69500 | Average Guesses =  13.6
Binary Search: Size 70000 | Average Guesses =  14.7
Linear Search: Size 70000 | Average Guesses = 30633.3 
Linear Search: Size 70500 | Average Guesses = 46356 
Binary Search: Size 70500 | Average Guesses =  15.7
Linear Search: Size 71000 | Average Guesses = 38720.4 
Binary Search: Size 71000 | Average Guesses =  15
Linear Search: Size 71500 | Average Guesses = 32433 
Binary Search: Size 71500 | Average Guesses =  15.2
Linear Search: Size 72000 | Average Guesses = 36866.9 
Binary Search: Size 72000 | Average Guesses =  15.4
Linear Search: Size 72500 | Average Guesses = 53128 
Binary Search: Size 72500 | Average Guesses =  15.3
Linear Search: Size 73000 | Average Guesses = 34417.6 
Binary Search: Size 73000 | Average Guesses =  15.7
Linear Search: Size 73500 | Average Guesses = 34755 
Binary Search: Size 73500 | Average Guesses =  15.7
Linear Search: Size 74000 | Average Guesses = 45216.1 
Binary Search: Size 74000 | Average Guesses =  15.3
Binary Search: Size 64000 | Average Guesses =  15.3
Binary Search: Size 74500 | Average Guesses =  15.9
Binary Search: Size 75000 | Average Guesses =  15.3
Linear Search: Size 75000 | Average Guesses = 40095.9 
Binary Search: Size 67500 | Average Guesses =  14.7
Linear Search: Size 69500 | Average Guesses = 41558.7 
Binary Search: Size 76000 | Average Guesses =  15.3
Linear Search: Size 76000 | Average Guesses = 40511.7 
Binary Search: Size 75500 | Average Guesses =  15.1
Binary Search: Size 76500 | Average Guesses =  15.1
Linear Search: Size 75500 | Average Guesses = 36853.6 
Linear Search: Size 76500 | Average Guesses = 41810.6 
Linear Search: Size 74500 | Average Guesses = 32156.1 
Binary Search: Size 77500 | Average Guesses =  14.8
Linear Search: Size 77000 | Average Guesses = 35301 
Binary Search: Size 78000 | Average Guesses =  14.8
Binary Search: Size 78500 | Average Guesses =  15
Linear Search: Size 78500 | Average Guesses = 46953.8 
Linear Search: Size 79000 | Average Guesses = 39638.4 
Binary Search: Size 79000 | Average Guesses =  15.3
Binary Search: Size 77000 | Average Guesses =  15.1
Binary Search: Size 79500 | Average Guesses =  15.7
Linear Search: Size 80000 | Average Guesses = 34985.5 
Binary Search: Size 80000 | Average Guesses =  16
Binary Search: Size 80500 | Average Guesses =  14.4
Linear Search: Size 79500 | Average Guesses = 30461.4 
Linear Search: Size 81000 | Average Guesses = 43991.9 
Binary Search: Size 81000 | Average Guesses =  15.3
Linear Search: Size 81500 | Average Guesses = 40130.9 
Linear Search: Size 78000 | Average Guesses = 31691.9 
Binary Search: Size 82000 | Average Guesses =  15.9
Linear Search: Size 77500 | Average Guesses = 31850.1 
Binary Search: Size 81500 | Average Guesses =  15.7
Linear Search: Size 80500 | Average Guesses = 42444.3 
Linear Search: Size 82000 | Average Guesses = 39222 
Binary Search: Size 83000 | Average Guesses =  15.5
