Sort Type, N, Average Runtime
INSERTION SORT, 38000, 515.9846042990685
INSERTION SORT, 47000, 799.2276291847229
INSERTION SORT, 49000, 867.6324418187141
INSERTION SORT, 50000, 897.6752499222755
MERGE SORT, 1000, 0.4464415907859802
MERGE SORT, 2000, 0.3229125142097473
MERGE SORT, 3000, 0.5002583861351013
MERGE SORT, 4000, 0.7031292915344238
MERGE SORT, 5000, 0.899333393573761
MERGE SORT, 6000, 1.0449043035507202
MERGE SORT, 7000, 1.1935294985771179
MERGE SORT, 8000, 1.400758397579193
MERGE SORT, 9000, 1.5930709958076477
MERGE SORT, 10000, 1.7044583082199096
SELECTION SORT, 28000, 624.9563622951507
MERGE SORT, 12000, 2.318608319759369
MERGE SORT, 11000, 1.8970834136009216
MERGE SORT, 14000, 2.5097167134284972
MERGE SORT, 15000, 2.6258835911750795
MERGE SORT, 16000, 2.821341598033905
MERGE SORT, 17000, 3.0956667065620422
MERGE SORT, 18000, 3.3483585119247437
MERGE SORT, 19000, 3.488529396057129
INSERTION SORT, 48000, 821.1211001038552
MERGE SORT, 21000, 3.813095784187317
MERGE SORT, 22000, 4.163741600513458
MERGE SORT, 23000, 4.32786260843277
MERGE SORT, 24000, 4.468500185012817
MERGE SORT, 25000, 4.636141693592071
MERGE SORT, 26000, 4.830258393287659
MERGE SORT, 27000, 5.114970815181732
SELECTION SORT, 35000, 963.767454302311
MERGE SORT, 29000, 5.434791600704193
MERGE SORT, 30000, 5.759241807460785
MERGE SORT, 31000, 5.832574880123138
MERGE SORT, 32000, 6.301587498188018
MERGE SORT, 33000, 6.381804096698761
MERGE SORT, 34000, 6.520525014400482
MERGE SORT, 35000, 6.879870998859405
MERGE SORT, 36000, 7.262733221054077
MERGE SORT, 37000, 7.535708379745484
MERGE SORT, 38000, 7.490383195877075
MERGE SORT, 39000, 7.5787499904632565
MERGE SORT, 40000, 7.926012313365936
MERGE SORT, 41000, 8.111595809459686
MERGE SORT, 42000, 8.357662677764893
MERGE SORT, 20000, 3.6109498858451845
MERGE SORT, 28000, 5.326420903205872
MERGE SORT, 43000, 8.437254178524018
MERGE SORT, 46000, 9.368733322620391
MERGE SORT, 47000, 9.720783495903015
MERGE SORT, 48000, 9.683600080013274
MERGE SORT, 49000, 9.826891803741455
MERGE SORT, 50000, 10.101108300685883
MERGE SORT, 44000, 8.905566477775574
MERGE SORT, 45000, 8.880624890327454
MERGE SORT, 13000, 2.355487596988678
BUBBLE SORT,51000, 6315.9024334073065
BUBBLE SORT,55000, 7319.185716807842
BUBBLE SORT,56000, 7719.298070776463
BUBBLE SORT,57000, 8102.110479009151
BUBBLE SORT,58000, 8367.993445611
BUBBLE SORT,59000, 8694.257508301735
BUBBLE SORT,60000, 9005.290962588788
BUBBLE SORT,52000, 6610.431254196167
BUBBLE SORT,62000, 9628.580254292488
BUBBLE SORT,63000, 9965.047666597366
BUBBLE SORT,64000, 10270.305000126362
BUBBLE SORT,65000, 10620.579037499429
BUBBLE SORT,66000, 10959.745054292678
BUBBLE SORT,67000, 11344.006366610527
BUBBLE SORT,68000, 11715.437191593646
BUBBLE SORT,69000, 12008.958037400245
BUBBLE SORT,70000, 12348.42593318224
BUBBLE SORT,71000, 12684.31243748665
BUBBLE SORT,72000, 13095.318308210373
BUBBLE SORT,73000, 13298.959020864964
BUBBLE SORT,74000, 13577.143008315563
BUBBLE SORT,75000, 13926.662166297436
BUBBLE SORT,76000, 14304.253812384606
BUBBLE SORT,77000, 14668.214904010296
BUBBLE SORT,61000, 9346.03722499609
BUBBLE SORT,79000, 15546.872849988937
BUBBLE SORT,80000, 16270.845637404918
BUBBLE SORT,81000, 16730.393770706654
BUBBLE SORT,82000, 17113.38527930975
BUBBLE SORT,83000, 17575.795033168793
BUBBLE SORT,84000, 18003.49052891731
BUBBLE SORT,85000, 18441.95433743
BUBBLE SORT,86000, 18931.433003985883
BUBBLE SORT,87000, 19365.204187297823
BUBBLE SORT,88000, 19792.485554122926
BUBBLE SORT,89000, 20230.33092509508
BUBBLE SORT,90000, 20823.465625095367
BUBBLE SORT,78000, 15047.892062282563
BUBBLE SORT,92000, 21736.41903759241
BUBBLE SORT,93000, 22167.87760421038
BUBBLE SORT,94000, 22677.345875012874
BUBBLE SORT,95000, 23194.717558205128
BUBBLE SORT,96000, 23235.0812458992
BUBBLE SORT,53000, 6816.192491698265
BUBBLE SORT,98000, 24046.612041711807
BUBBLE SORT,97000, 23647.743004214764
BUBBLE SORT,100000, 25206.697145783903
SELECTION SORT, 51000, 2133.9863250255585
BUBBLE SORT,99000, 24651.009483385085
BUBBLE SORT,54000, 7024.719970786571
SELECTION SORT, 52000, 2140.841033196449
SELECTION SORT, 55000, 2396.2553166151047
SELECTION SORT, 56000, 2479.8231999993322
BUBBLE SORT,91000, 21178.767245912553
SELECTION SORT, 54000, 2303.468016791344
SELECTION SORT, 59000, 2744.6121751070023
SELECTION SORT, 60000, 2818.8911791682244
SELECTION SORT, 61000, 2928.689270913601
SELECTION SORT, 62000, 3044.0260416984556
SELECTION SORT, 53000, 2202.883991920948
